,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
219,33,330018,1,0,No Obstruction Noted
220,33,330019,1,0,No Obstruction Noted
221,33,330020,1,0,No Obstruction Noted
222,33,330021,1,0,No Obstruction Noted
223,33,330022,1,0,No Obstruction Noted
224,33,330023,1,0,No Obstruction Noted
225,33,330025,1,0,No Obstruction Noted
226,33,330026,1,0,No Obstruction Noted
227,33,330016,1,0,No Obstruction Noted
228,33,330028,1,0,No Obstruction Noted
229,33,330029,1,0,No Obstruction Noted
230,33,330030,1,0,No Obstruction Noted
231,33,330031,1,0,No Obstruction Noted
232,33,330032,1,0,No Obstruction Noted
233,33,330033,1,0,No Obstruction Noted
234,33,330034,1,0,No Obstruction Noted
235,33,330035,1,0,No Obstruction Noted
236,33,330008,1,0,No Obstruction Noted
237,33,330003,1,0,No Obstruction Noted
238,33,330004,1,0,No Obstruction Noted
239,33,330005,1,0,No Obstruction Noted
240,33,330006,1,0,No Obstruction Noted
241,33,330007,1,0,No Obstruction Noted
242,33,330036,1,0,No Obstruction Noted
243,33,330009,1,0,No Obstruction Noted
244,33,330010,1,0,No Obstruction Noted
245,33,330011,1,0,No Obstruction Noted
246,33,330012,1,0,No Obstruction Noted
247,33,330013,1,0,No Obstruction Noted
248,33,330014,1,0,No Obstruction Noted
249,33,330015,1,0,No Obstruction Noted
250,33,330058,1,0,No Obstruction Noted
251,33,330053,1,0,No Obstruction Noted
252,33,330054,1,0,No Obstruction Noted
253,33,330055,1,0,No Obstruction Noted
254,33,330056,1,0,No Obstruction Noted
255,33,330057,1,0,No Obstruction Noted
256,33,330052,1,0,No Obstruction Noted
257,33,330059,1,0,No Obstruction Noted
258,33,330060,1,0,No Obstruction Noted
259,33,330061,1,0,No Obstruction Noted
260,33,330062,1,0,No Obstruction Noted
261,33,330063,1,0,No Obstruction Noted
262,33,330064,1,0,No Obstruction Noted
263,33,330065,1,0,No Obstruction Noted
264,33,330066,1,0,No Obstruction Noted
265,33,330067,1,0,No Obstruction Noted
266,33,330037,1,0,No Obstruction Noted
267,33,330038,1,0,No Obstruction Noted
268,33,330039,1,0,No Obstruction Noted
269,33,330040,1,0,No Obstruction Noted
270,33,330041,1,0,No Obstruction Noted
271,33,330042,1,0,No Obstruction Noted
272,33,330043,1,0,No Obstruction Noted
273,33,330044,1,0,No Obstruction Noted
274,33,330045,1,0,No Obstruction Noted
275,33,330046,1,0,No Obstruction Noted
276,33,330047,1,0,No Obstruction Noted
277,33,330048,1,0,No Obstruction Noted
278,33,330049,1,0,No Obstruction Noted
279,33,330050,1,0,No Obstruction Noted
280,33,330051,1,0,No Obstruction Noted
281,50,500007,1,0,No Obstruction Noted
282,50,500001,1,0,No Obstruction Noted
283,50,500002,1,0,No Obstruction Noted
284,50,500003,1,0,No Obstruction Noted
285,50,500004,1,0,No Obstruction Noted
286,50,500005,1,0,No Obstruction Noted
287,50,500006,1,0,No Obstruction Noted
288,50,500008,1,0,No Obstruction Noted
289,50,500009,1,0,No Obstruction Noted
290,50,500010,1,0,No Obstruction Noted
291,50,500011,1,0,No Obstruction Noted
292,50,500012,1,0,No Obstruction Noted
293,50,500013,1,0,No Obstruction Noted
294,50,500014,1,0,No Obstruction Noted
295,50,500016,1,0,No Obstruction Noted
296,50,500017,1,0,No Obstruction Noted
297,56,560001,1,0,No Obstruction Noted
298,56,560004,1,0,No Obstruction Noted
299,56,560005,1,0,No Obstruction Noted
300,56,560006,1,0,No Obstruction Noted
301,56,560007,1,0,No Obstruction Noted
302,56,560008,1,0,No Obstruction Noted
303,56,560009,1,0,No Obstruction Noted
304,56,560010,1,0,No Obstruction Noted
305,56,560081,1,0,No Obstruction Noted
306,56,560082,1,0,No Obstruction Noted
307,56,560083,1,0,No Obstruction Noted
308,56,560084,1,0,No Obstruction Noted
309,56,560085,1,0,No Obstruction Noted
310,56,560086,1,0,No Obstruction Noted
311,56,560087,1,0,No Obstruction Noted
312,56,560089,1,0,No Obstruction Noted
313,56,560090,1,0,No Obstruction Noted
314,56,560091,1,0,No Obstruction Noted
315,56,560092,1,0,No Obstruction Noted
316,56,560093,1,0,No Obstruction Noted
317,56,560094,1,0,No Obstruction Noted
